id,date,type,content,media_file
838697,2025-02-16T09:55:48+00:00,text,Good morning bro 😁,
838696,2025-02-16T09:55:44+00:00,text,Good afternoon 🌅,
838695,2025-02-16T09:55:37+00:00,sticker,[STICKER] BAADBQADFBIAAlg1EFU-3hiEDjFoqQI,media/sticker_838695.webp
838694,2025-02-16T09:55:37+00:00,text,Losers dwell on problems; winners work on progress.,
838693,2025-02-16T09:55:36+00:00,sticker,[STICKER] BAADBAADkiUAAnAjAAFT_UtPpMLgN08C,media/sticker_838693.webp
838692,2025-02-16T09:55:35+00:00,text,"Cool , 😎",
838691,2025-02-16T09:55:33+00:00,text,Good afternoon,
838690,2025-02-16T09:55:29+00:00,text,"⚠️ Rember:
Don't spam, avoid clicking on unknown links and no hate speech.
Let's keep the atmosphere fun and peaceful 🏳️",
838689,2025-02-16T09:55:26+00:00,text,Great how about you,
838688,2025-02-16T09:55:23+00:00,text,Goood Evening 🌆,
838687,2025-02-16T09:55:17+00:00,text,A true champion isn’t distracted by noise—he stays focused on his vision.,
838686,2025-02-16T09:55:07+00:00,text,How are you dude,
838685,2025-02-16T09:55:01+00:00,text,Yeah sure,
838684,2025-02-16T09:55:01+00:00,text,To the moon,
838683,2025-02-16T09:54:54+00:00,text,Let's go go,
838682,2025-02-16T09:54:53+00:00,text,To mars,
838681,2025-02-16T09:54:47+00:00,text,"Success isn’t about luck; it’s about persistence.""**",
838680,2025-02-16T09:54:41+00:00,text,tge when,
838679,2025-02-16T09:54:36+00:00,text,Let's go,
838678,2025-02-16T09:54:24+00:00,text,"Mine also, Whts your name bro",
838677,2025-02-16T09:54:09+00:00,text,Yes your,
838676,2025-02-16T09:54:03+00:00,text,Lift🚀🚀🚀🚀,
838675,2025-02-16T09:53:58+00:00,text,"Fine , breakfast done",
838674,2025-02-16T09:53:55+00:00,sticker,[STICKER] BAADBQADhRAAAtLlEFVjm-H0SPxIbgI,media/sticker_838674.webp
838673,2025-02-16T09:53:53+00:00,sticker,[STICKER] CAADBQADnAMAAlzzSVbG7NogLEJIkAI,media/sticker_838673.webp
838672,2025-02-16T09:53:51+00:00,text,Best project,
838671,2025-02-16T09:53:51+00:00,text,Single 🤣,
838670,2025-02-16T09:53:51+00:00,text,Okay,
838669,2025-02-16T09:53:48+00:00,text,Hopper all time high,
838668,2025-02-16T09:53:47+00:00,text,Yepppp niceeeee fineeeeeee amazingggggg fantasticccccc,
838667,2025-02-16T09:53:39+00:00,text,Good and you,
838666,2025-02-16T09:53:36+00:00,text,"No I mean I can't eat if I'm not hungry, And it's also about tradition 

We don't do eating together actually because everyone might feel not hungry, So our eating time is really different for each person 😅",
838665,2025-02-16T09:53:34+00:00,text,Than go and sleep on your gf shoulder 😂,
838664,2025-02-16T09:53:29+00:00,sticker,[STICKER] BAADBAADkiUAAnAjAAFT_UtPpMLgN08C,media/sticker_838664.webp
838663,2025-02-16T09:53:18+00:00,sticker,[STICKER] BAADBAADvBYAAi9uCFHeoosTQp6rhQI,media/sticker_838663.webp
838662,2025-02-16T09:53:16+00:00,text,Fly to moonnnnn,
838661,2025-02-16T09:53:12+00:00,text,"Okay, how are you",
838660,2025-02-16T09:53:10+00:00,text,Go sleep now,
838659,2025-02-16T09:53:07+00:00,sticker,[STICKER] CAADBAADXAgAAkvfOFLpMmYLH0D5RAI,media/sticker_838659.webp
838658,2025-02-16T09:52:57+00:00,text,Nothing 😁,
838657,2025-02-16T09:52:51+00:00,text,"Hi, how are you",
838656,2025-02-16T09:52:48+00:00,text,Two days not slept,
838655,2025-02-16T09:52:42+00:00,text,Have good day,
838654,2025-02-16T09:52:35+00:00,text,Okay 😁,
838653,2025-02-16T09:52:35+00:00,text,Hopper is best project,
838652,2025-02-16T09:52:27+00:00,text,Yes bro,
838651,2025-02-16T09:52:23+00:00,text,What,
838650,2025-02-16T09:52:22+00:00,text,I am not feeling well,
838649,2025-02-16T09:52:16+00:00,text,Hopper is already big,
838648,2025-02-16T09:52:15+00:00,text,"It's bad habit bro , don't your mother angry on you",
838647,2025-02-16T09:52:01+00:00,text,Maybe😂,
838646,2025-02-16T09:52:00+00:00,text,Waitin,
838645,2025-02-16T09:52:00+00:00,text,Big project guys,
838644,2025-02-16T09:51:58+00:00,text,Give me a ticket to your kingdom and a bedroom 🤣,
838643,2025-02-16T09:51:51+00:00,text,Did she murder someone 🤔,
838642,2025-02-16T09:51:50+00:00,sticker,[STICKER] BAADBQADjhAAAj75kVSd4SQm7A7R8AI,media/sticker_838642.webp
838641,2025-02-16T09:51:48+00:00,text,Thanks brutha,
838640,2025-02-16T09:51:47+00:00,sticker,[STICKER] BAADBQADhRAAAtLlEFVjm-H0SPxIbgI,media/sticker_838640.webp
838639,2025-02-16T09:51:43+00:00,text,"Sometimes, But not too usual",
838638,2025-02-16T09:51:43+00:00,text,Hello bro,
838637,2025-02-16T09:51:33+00:00,text,Welcome lady killer,
838636,2025-02-16T09:51:25+00:00,text,Yes 😁,
838635,2025-02-16T09:51:20+00:00,sticker,[STICKER] BAADBQADjhAAAj75kVSd4SQm7A7R8AI,media/sticker_838635.webp
838634,2025-02-16T09:51:18+00:00,text,Do you don't eat at night,
838633,2025-02-16T09:51:13+00:00,text,Is it a fantastic dream?,
838632,2025-02-16T09:51:08+00:00,text,Big news,
838631,2025-02-16T09:51:00+00:00,text,My dream kingdom,
838630,2025-02-16T09:50:56+00:00,text,"Oh already, But I think I'll take my evening lunchtime. Yeah I rarely do dinner so I eat on evening

Thx for reminder",
838629,2025-02-16T09:50:40+00:00,text,tge when,
838628,2025-02-16T09:50:30+00:00,text,Which kingdom,
838627,2025-02-16T09:50:28+00:00,text,Yeah literally lol,
838626,2025-02-16T09:50:23+00:00,text,King Shahin Khan 😁,
838625,2025-02-16T09:50:15+00:00,text,Ur,
838624,2025-02-16T09:50:12+00:00,text,It's Aijo Rentaro 😎,
838623,2025-02-16T09:50:02+00:00,text,Breakfast done buddy,
838622,2025-02-16T09:49:51+00:00,text,Whts your name,
838621,2025-02-16T09:49:45+00:00,text,Yeah haha 😂,
838620,2025-02-16T09:49:34+00:00,text,Yes 😁,
838619,2025-02-16T09:49:34+00:00,text,Because he's asking 👍🏻,
838618,2025-02-16T09:49:28+00:00,text,What lol,
838617,2025-02-16T09:49:25+00:00,text,The same thing I'm doing now 😅 hahaha 🤣,
838616,2025-02-16T09:49:13+00:00,text,Now tell me why you ask,
838615,2025-02-16T09:49:03+00:00,text,Pushing rank,
838614,2025-02-16T09:49:02+00:00,text,"Okay why do we become so wise with that word bruh, Let's back to normal 🤣",
838613,2025-02-16T09:48:57+00:00,text,What are you doing now bro,
838612,2025-02-16T09:48:49+00:00,text,Okay,
838611,2025-02-16T09:48:47+00:00,text,Just let me,
838610,2025-02-16T09:48:40+00:00,text,Why,
838609,2025-02-16T09:48:39+00:00,text,"Around hundreds of people, There's only one person that's different and special. That's yourself",
838608,2025-02-16T09:48:36+00:00,text,Let me ask you a question first,
838607,2025-02-16T09:48:30+00:00,text,Will circulate how much?,
838606,2025-02-16T09:48:26+00:00,text,"I'm good , what are you doing",
838605,2025-02-16T09:48:15+00:00,text,"Fine , u",
838604,2025-02-16T09:48:11+00:00,text,What's up dude,
838603,2025-02-16T09:48:01+00:00,text,"A winner’s energy is spent on solutions, not complaints.",
838602,2025-02-16T09:47:51+00:00,text,Let's push the rank,
838601,2025-02-16T09:47:46+00:00,text,Warriors don’t back down from challenges; they rise to them.,
838600,2025-02-16T09:47:31+00:00,text,A true leader turns obstacles into opportunities.,
838599,2025-02-16T09:47:18+00:00,text,Let's go Hopper I'm with you,
838598,2025-02-16T09:47:10+00:00,sticker,[STICKER] CAADBQADjgkAAl986FVUH5HE3mUaTQI,media/sticker_838598.webp
838597,2025-02-16T09:47:05+00:00,text,Greatness doesn’t argue—it demonstrates.,
838596,2025-02-16T09:46:57+00:00,text,"Don't be afraid to take a step, Who knows it'll lead you to a bright path",
838595,2025-02-16T09:46:51+00:00,text,Hahaha 😂,
838594,2025-02-16T09:46:46+00:00,text,Innovators don’t stick to the rules; they rewrite them.,
838593,2025-02-16T09:46:28+00:00,text,"Success isn’t found in tearing others down, but in lifting yourself up.",
838592,2025-02-16T09:46:10+00:00,text,"Dreamers don’t just imagine; they take action.""",
838591,2025-02-16T09:45:51+00:00,text,"Achievers don’t fear failure; they learn from it.""**",
838590,2025-02-16T09:45:38+00:00,text,A strong mind doesn’t break under pressure—it sharpens.,
838589,2025-02-16T09:45:23+00:00,text,"Leaders don’t follow trends; they set them.""**",
838588,2025-02-16T09:45:04+00:00,text,Yes mate,
838587,2025-02-16T09:44:48+00:00,text,"This is huge
I'm so positive and excited about this project",
838586,2025-02-16T09:44:47+00:00,text,"Champions don’t wait for opportunities; they create them.""**",
838585,2025-02-16T09:44:46+00:00,text,Let's rock this awesome project guys ..we all are going to rock soon,
838584,2025-02-16T09:44:34+00:00,text,"""Winners don’t make excuses; they make progress.""**",
838583,2025-02-16T09:44:28+00:00,text,"Yeah just look at Hopper announcement and they're launching a lit social media platform for ants, I like the interface",
838582,2025-02-16T09:43:53+00:00,text,What really,
838581,2025-02-16T09:43:39+00:00,text,"The Nigerian government has denied Binance executive Tigran Gambaryan’s allegations that officials demanded bribes, calling the claims misleading and unsubstantiated, per repor",
838580,2025-02-16T09:43:36+00:00,text,Damn 💀,
838579,2025-02-16T09:43:33+00:00,text,"Elon Musk says xAI is launching 'Grok 3', the ""smartest AI on Earth"" on Monday.",
838578,2025-02-16T09:43:31+00:00,text,Okay good 👍,
